[INFO ] 2019-09-11 23:40:02,321(0) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:27): DyBootApplicationRun执行run方法  
[INFO ] 2019-09-11 23:40:04,209(1888) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:39): 配置DyLoaderManager加载管理器  
[INFO ] 2019-09-11 23:40:04,663(2342) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:42): 注册一个配置文件加载器  
[INFO ] 2019-09-11 23:40:05,083(2762) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:46): 注册一个dyboot启动加载器  
[INFO ] 2019-09-11 23:40:05,527(3206) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:50): 注册一个类加载器，用于加载目标项目的类  
[INFO ] 2019-09-11 23:40:10,543(8222) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:53): 注册一个IOC注入加载器  
[INFO ] 2019-09-11 23:40:12,925(10604) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:56): 启动DyLoaderManager加载管理器  
[INFO ] 2019-09-11 23:40:15,213(12892) --> [main] com.duanya.spring.framework.core.load.manager.DyLoaderManager.doLoad(DyLoaderManager.java:43): 开始执行DyBeanLoad加载器  
[INFO ] 2019-09-11 23:40:15,807(13486) --> [main] com.duanya.spring.framework.core.load.DyConfigurationLoader.loadProperties(DyConfigurationLoader.java:116): 配置文件dy-application.properties加载成功  
[INFO ] 2019-09-11 23:40:15,808(13487) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.load(DyBootStarterLoader.java:36): 开始加载dyboot-starter，默认包为com.duanya.spring.framework.starter  
[INFO ] 2019-09-11 23:40:16,275(13954) --> [main] com.duanya.spring.framework.starter.DyJettyWebStarter.doStart(DyJettyWebStarter.java:55): 注册TomcatStarterListener监听器  
[INFO ] 2019-09-11 23:40:16,277(13956) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.invokeStarter(DyBootStarterLoader.java:80): dyboot-starter执行DyJettyWebStarter的doStart方法  
[WARN ] 2019-09-11 23:40:16,344(14023) --> [main] com.alibaba.nacos.client.utils.LogUtils.<clinit>(LogUtils.java:53): Load Log4j Configuration of Nacos fail, message: org/apache/logging/log4j/LogManager  
[INFO ] 2019-09-11 23:40:16,411(14090) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:57): [settings] [req-serv] nacos-server port:8848  
[INFO ] 2019-09-11 23:40:16,412(14091) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:68): [settings] [http-client] connect timeout:1000  
[INFO ] 2019-09-11 23:40:16,417(14096) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:80): NACOS_CLIENT_VERSION: ${project.version}  
[INFO ] 2019-09-11 23:40:16,428(14107) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:87): PER_TASK_CONFIG_SIZE: 3000.0  
[INFO ] 2019-09-11 23:40:16,502(14181) --> [main] com.alibaba.nacos.client.identify.CredentialWatcher.loadCredential(CredentialWatcher.java:150): null No credential found  
[INFO ] 2019-09-11 23:40:16,617(14296) --> [main] com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor.<clinit>(LocalConfigInfoProcessor.java:195): LOCAL_SNAPSHOT_PATH:/Users/aisen/nacos/config  
[INFO ] 2019-09-11 23:40:16,910(14589) --> [main] com.alibaba.nacos.client.config.impl.Limiter.<clinit>(Limiter.java:53): limitTime:5.0  
[INFO ] 2019-09-11 23:40:17,159(14838) --> [main] com.alibaba.nacos.client.config.utils.JVMUtil.<clinit>(JVMUtil.java:47): isMultiInstance:false  
[INFO ] 2019-09-11 23:40:17,165(14844) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.invokeStarter(DyBootStarterLoader.java:80): dyboot-starter执行DyNacosConfigStarter的doStart方法  
[INFO ] 2019-09-11 23:40:17,970(15649) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.invokeStarter(DyBootStarterLoader.java:80): dyboot-starter执行DybootStarterJdbc的doStart方法  
[INFO ] 2019-09-11 23:40:17,970(15649) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.load(DyBootStarterLoader.java:45): dyboot-starter加载结束  
[INFO ] 2019-09-11 23:40:17,987(15666) --> [main] com.duanya.spring.framework.core.load.DyClassLoader.load(DyClassLoader.java:57): DyClassLoader已经加载com.duanya.example.nacos下面的类  
[INFO ] 2019-09-11 23:40:18,001(15680) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.loadBean(DyIocLoader.java:87): loadBean加载bean到DySpringApplicationContent上下文中  
[INFO ] 2019-09-11 23:40:18,001(15680) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.initConfigurationBean(DyIocLoader.java:108): initConfigurationBean初始化配置类，并调用@DyBean的方法初始化一个bean注册到DySpringApplicationContent上下文中  
[INFO ] 2019-09-11 23:40:18,002(15681) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.doAutowirteAll(DyIocLoader.java:118): doAutowirteAll，配置类自动装配完成！  
[INFO ] 2019-09-11 23:40:18,003(15682) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.load(DyIocLoader.java:47): 上下文容器初始化成功  
[INFO ] 2019-09-11 23:40:18,674(16353) --> [main] com.duanya.spring.framework.core.load.manager.DyLoaderManager.doLoad(DyLoaderManager.java:46): 调用DyLoaderListerManager监听管理器通知  
[INFO ] 2019-09-11 23:40:19,904(17583) --> [main] com.duanya.spring.framework.core.listener.api.manager.DyLoaderListerManager.noticeLister(DyLoaderListerManager.java:30): 开始执行监听通知  
[INFO ] 2019-09-11 23:40:24,255(21934) --> [Thread-3] org.eclipse.jetty.util.log.Log.initialized(Log.java:193): Logging initialized @29820ms to org.eclipse.jetty.util.log.Slf4jLog  
[INFO ] 2019-09-11 23:44:30,981(0) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:27): DyBootApplicationRun执行run方法  
[INFO ] 2019-09-11 23:44:31,034(53) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:39): 配置DyLoaderManager加载管理器  
[INFO ] 2019-09-11 23:44:31,036(55) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:42): 注册一个配置文件加载器  
[INFO ] 2019-09-11 23:44:31,043(62) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:46): 注册一个dyboot启动加载器  
[INFO ] 2019-09-11 23:44:31,049(68) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:50): 注册一个类加载器，用于加载目标项目的类  
[INFO ] 2019-09-11 23:44:31,049(68) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:53): 注册一个IOC注入加载器  
[INFO ] 2019-09-11 23:44:31,055(74) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:56): 启动DyLoaderManager加载管理器  
[INFO ] 2019-09-11 23:44:31,055(74) --> [main] com.duanya.spring.framework.core.load.manager.DyLoaderManager.doLoad(DyLoaderManager.java:43): 开始执行DyBeanLoad加载器  
[INFO ] 2019-09-11 23:44:31,084(103) --> [main] com.duanya.spring.framework.core.load.DyConfigurationLoader.loadProperties(DyConfigurationLoader.java:116): 配置文件dy-application.properties加载成功  
[INFO ] 2019-09-11 23:44:31,085(104) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.load(DyBootStarterLoader.java:36): 开始加载dyboot-starter，默认包为com.duanya.spring.framework.starter  
[INFO ] 2019-09-11 23:45:10,699(39718) --> [main] com.duanya.spring.framework.starter.DyJettyWebStarter.doStart(DyJettyWebStarter.java:55): 注册TomcatStarterListener监听器  
[INFO ] 2019-09-11 23:45:10,702(39721) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.invokeStarter(DyBootStarterLoader.java:80): dyboot-starter执行DyJettyWebStarter的doStart方法  
[WARN ] 2019-09-11 23:45:12,451(41470) --> [main] com.alibaba.nacos.client.utils.LogUtils.<clinit>(LogUtils.java:53): Load Log4j Configuration of Nacos fail, message: org/apache/logging/log4j/LogManager  
[INFO ] 2019-09-11 23:45:12,582(41601) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:57): [settings] [req-serv] nacos-server port:8848  
[INFO ] 2019-09-11 23:45:12,584(41603) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:68): [settings] [http-client] connect timeout:1000  
[INFO ] 2019-09-11 23:45:12,597(41616) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:80): NACOS_CLIENT_VERSION: ${project.version}  
[INFO ] 2019-09-11 23:45:12,615(41634) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:87): PER_TASK_CONFIG_SIZE: 3000.0  
[INFO ] 2019-09-11 23:45:12,656(41675) --> [main] com.alibaba.nacos.client.identify.CredentialWatcher.loadCredential(CredentialWatcher.java:150): null No credential found  
[INFO ] 2019-09-11 23:45:12,760(41779) --> [main] com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor.<clinit>(LocalConfigInfoProcessor.java:195): LOCAL_SNAPSHOT_PATH:/Users/aisen/nacos/config  
[INFO ] 2019-09-11 23:45:13,049(42068) --> [main] com.alibaba.nacos.client.config.impl.Limiter.<clinit>(Limiter.java:53): limitTime:5.0  
[INFO ] 2019-09-11 23:45:13,212(42231) --> [main] com.alibaba.nacos.client.config.utils.JVMUtil.<clinit>(JVMUtil.java:47): isMultiInstance:false  
[INFO ] 2019-09-11 23:45:13,217(42236) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.invokeStarter(DyBootStarterLoader.java:80): dyboot-starter执行DyNacosConfigStarter的doStart方法  
[INFO ] 2019-09-11 23:45:36,394(65413) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.invokeStarter(DyBootStarterLoader.java:80): dyboot-starter执行DybootStarterJdbc的doStart方法  
[INFO ] 2019-09-11 23:45:45,839(74858) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.load(DyBootStarterLoader.java:45): dyboot-starter加载结束  
[INFO ] 2019-09-11 23:45:49,172(78191) --> [main] com.duanya.spring.framework.core.load.DyClassLoader.load(DyClassLoader.java:57): DyClassLoader已经加载com.duanya.example.nacos下面的类  
[INFO ] 2019-09-11 23:45:49,203(78222) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.loadBean(DyIocLoader.java:87): loadBean加载bean到DySpringApplicationContent上下文中  
[INFO ] 2019-09-11 23:45:49,204(78223) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.initConfigurationBean(DyIocLoader.java:108): initConfigurationBean初始化配置类，并调用@DyBean的方法初始化一个bean注册到DySpringApplicationContent上下文中  
[INFO ] 2019-09-11 23:45:49,206(78225) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.doAutowirteAll(DyIocLoader.java:118): doAutowirteAll，配置类自动装配完成！  
[INFO ] 2019-09-11 23:45:49,207(78226) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.load(DyIocLoader.java:47): 上下文容器初始化成功  
[INFO ] 2019-09-11 23:45:52,945(81964) --> [main] com.duanya.spring.framework.core.load.manager.DyLoaderManager.doLoad(DyLoaderManager.java:46): 调用DyLoaderListerManager监听管理器通知  
[INFO ] 2019-09-11 23:45:53,341(82360) --> [main] com.duanya.spring.framework.core.listener.api.manager.DyLoaderListerManager.noticeLister(DyLoaderListerManager.java:30): 开始执行监听通知  
[INFO ] 2019-09-11 23:45:54,365(83384) --> [Thread-3] org.eclipse.jetty.util.log.Log.initialized(Log.java:193): Logging initialized @102714ms to org.eclipse.jetty.util.log.Slf4jLog  
[INFO ] 2019-09-11 23:45:54,711(83730) --> [Thread-3] org.eclipse.jetty.server.Server.doStart(Server.java:370): jetty-9.4.19.v20190610; built: 2019-06-10T16:30:51.723Z; git: afcf563148970e98786327af5e07c261fda175d3; jvm 1.8.0_181-b13  
[INFO ] 2019-09-11 23:45:55,029(84048) --> [Thread-3] org.eclipse.jetty.server.AbstractConnector.doStart(AbstractConnector.java:292): Started ServerConnector@42cf79c{HTTP/1.1,[http/1.1]}{localhost:8099}  
[INFO ] 2019-09-11 23:45:55,034(84053) --> [Thread-3] org.eclipse.jetty.server.Server.doStart(Server.java:410): Started @103391ms  
[INFO ] 2019-09-11 23:45:55,037(84056) --> [Thread-3] com.duanya.start.web.jetty.DyJettyServer.start(DyJettyServer.java:35): DyBoot Starter Web 启动完成，花费时间为84020ms  
[INFO ] 2019-09-11 23:46:23,565(112584) --> [qtp519593470-19] com.alibaba.druid.pool.DruidDataSource.init(DruidDataSource.java:669): {dataSource-1} inited  
[INFO ] 2019-09-11 23:47:31,004(180023) --> [Thread-4] org.eclipse.jetty.server.AbstractConnector.doStop(AbstractConnector.java:341): Stopped ServerConnector@42cf79c{HTTP/1.1,[http/1.1]}{localhost:8099}  
[INFO ] 2019-09-11 23:49:08,741(0) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:27): DyBootApplicationRun执行run方法  
[INFO ] 2019-09-11 23:49:08,755(14) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:39): 配置DyLoaderManager加载管理器  
[INFO ] 2019-09-11 23:49:08,756(15) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:42): 注册一个配置文件加载器  
[INFO ] 2019-09-11 23:49:08,757(16) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:46): 注册一个dyboot启动加载器  
[INFO ] 2019-09-11 23:49:08,763(22) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:50): 注册一个类加载器，用于加载目标项目的类  
[INFO ] 2019-09-11 23:49:08,765(24) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:53): 注册一个IOC注入加载器  
[INFO ] 2019-09-11 23:49:08,780(39) --> [main] com.duanya.spring.framework.starter.run.DyBootApplicationRun.run(DyBootApplicationRun.java:56): 启动DyLoaderManager加载管理器  
[INFO ] 2019-09-11 23:49:08,780(39) --> [main] com.duanya.spring.framework.core.load.manager.DyLoaderManager.doLoad(DyLoaderManager.java:43): 开始执行DyBeanLoad加载器  
[INFO ] 2019-09-11 23:49:08,824(83) --> [main] com.duanya.spring.framework.core.load.DyConfigurationLoader.loadProperties(DyConfigurationLoader.java:116): 配置文件dy-application.properties加载成功  
[INFO ] 2019-09-11 23:49:08,824(83) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.load(DyBootStarterLoader.java:36): 开始加载dyboot-starter，默认包为com.duanya.spring.framework.starter  
[INFO ] 2019-09-11 23:49:11,942(3201) --> [main] com.duanya.spring.framework.starter.DyJettyWebStarter.doStart(DyJettyWebStarter.java:55): 注册TomcatStarterListener监听器  
[INFO ] 2019-09-11 23:49:11,943(3202) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.invokeStarter(DyBootStarterLoader.java:80): dyboot-starter执行DyJettyWebStarter的doStart方法  
[WARN ] 2019-09-11 23:49:11,973(3232) --> [main] com.alibaba.nacos.client.utils.LogUtils.<clinit>(LogUtils.java:53): Load Log4j Configuration of Nacos fail, message: org/apache/logging/log4j/LogManager  
[INFO ] 2019-09-11 23:49:11,994(3253) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:57): [settings] [req-serv] nacos-server port:8848  
[INFO ] 2019-09-11 23:49:11,995(3254) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:68): [settings] [http-client] connect timeout:1000  
[INFO ] 2019-09-11 23:49:11,997(3256) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:80): NACOS_CLIENT_VERSION: ${project.version}  
[INFO ] 2019-09-11 23:49:12,005(3264) --> [main] com.alibaba.nacos.client.utils.ParamUtil.<clinit>(ParamUtil.java:87): PER_TASK_CONFIG_SIZE: 3000.0  
[INFO ] 2019-09-11 23:49:12,051(3310) --> [main] com.alibaba.nacos.client.identify.CredentialWatcher.loadCredential(CredentialWatcher.java:150): null No credential found  
[INFO ] 2019-09-11 23:49:12,104(3363) --> [main] com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor.<clinit>(LocalConfigInfoProcessor.java:195): LOCAL_SNAPSHOT_PATH:/Users/aisen/nacos/config  
[INFO ] 2019-09-11 23:49:12,219(3478) --> [main] com.alibaba.nacos.client.config.impl.Limiter.<clinit>(Limiter.java:53): limitTime:5.0  
[INFO ] 2019-09-11 23:49:12,316(3575) --> [main] com.alibaba.nacos.client.config.utils.JVMUtil.<clinit>(JVMUtil.java:47): isMultiInstance:false  
[INFO ] 2019-09-11 23:49:12,322(3581) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.invokeStarter(DyBootStarterLoader.java:80): dyboot-starter执行DyNacosConfigStarter的doStart方法  
[INFO ] 2019-09-11 23:49:12,642(3901) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.invokeStarter(DyBootStarterLoader.java:80): dyboot-starter执行DybootStarterJdbc的doStart方法  
[INFO ] 2019-09-11 23:49:12,642(3901) --> [main] com.duanya.spring.framework.starter.load.DyBootStarterLoader.load(DyBootStarterLoader.java:45): dyboot-starter加载结束  
[INFO ] 2019-09-11 23:49:12,646(3905) --> [main] com.duanya.spring.framework.core.load.DyClassLoader.load(DyClassLoader.java:57): DyClassLoader已经加载com.duanya.example.nacos下面的类  
[INFO ] 2019-09-11 23:49:12,649(3908) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.loadBean(DyIocLoader.java:87): loadBean加载bean到DySpringApplicationContent上下文中  
[INFO ] 2019-09-11 23:49:12,654(3913) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.initConfigurationBean(DyIocLoader.java:108): initConfigurationBean初始化配置类，并调用@DyBean的方法初始化一个bean注册到DySpringApplicationContent上下文中  
[INFO ] 2019-09-11 23:49:12,654(3913) --> [main] com.duanya.spring.framework.core.load.DyIocLoader.doAutowirteAll(DyIocLoader.java:118): doAutowirteAll，配置类自动装配完成！  
